arquivo;frase
./origem/partes/parte_0396.mp4;CIA, FBI, Russians,
./origem/partes/parte_0397.mp4;babushka lady on the grassy knoll.
./origem/partes/parte_0398.mp4;A lot of books written about it.
./origem/partes/parte_0399.mp4;Most of them written about Lee Harvey Oswald.
./origem/partes/parte_0400.mp4;Guy didn't make sense.
./origem/partes/parte_0401.mp4;U.S. Marine,
./origem/partes/parte_0402.mp4;defected to Russia, came back.
./origem/partes/parte_0403.mp4;But everyone who wrote about Oswald
./origem/partes/parte_0404.mp4;studied him after the assassination.
./origem/partes/parte_0405.mp4;I saw him before.
./origem/partes/parte_0406.mp4;I saw him when he came back from Russia.
./origem/partes/parte_0407.mp4;In 1962.
./origem/partes/parte_0408.mp4;What the hell are you staring at?
./origem/partes/parte_0409.mp4;Nothing.
./origem/partes/parte_0410.mp4;Yeah, well, mind your own.
./origem/partes/parte_0411.mp4;Why didn't you shoot him right there?
./origem/partes/parte_0412.mp4;I don't know whether Oswald was the man who did it.
./origem/partes/parte_0413.mp4;I still don't know.
./origem/partes/parte_0414.mp4;I'm not gonna shoot someone because of maybe.
./origem/partes/parte_0415.mp4;There are hundreds of questions that haven't been answered
./origem/partes/parte_0416.mp4;concerning Oswald in that day.
./origem/partes/parte_0417.mp4;This is a big one.
./origem/partes/parte_0418.mp4;Who's this?
./origem/partes/parte_0419.mp4;Walker.
./origem/partes/parte_0420.mp4;Ran for Texas governor.
./origem/partes/parte_0421.mp4;You know that in 1963,
./origem/partes/parte_0422.mp4;six months before Kennedy was shot,
./origem/partes/parte_0423.mp4;there was an assassination attempt on him.
./origem/partes/parte_0424.mp4;There was an assassination attempt on this man.
./origem/partes/parte_0426.mp4;A bullet came from a 6.5 caliber Carcano rifle.
./origem/partes/parte_0427.mp4;Same exact make a gun that killed Kennedy.
./origem/partes/parte_0428.mp4;Well, did you go back and see Oswald shoot Walker?
./origem/partes/parte_0429.mp4;That's what I want you to do.
./origem/partes/parte_0431.mp4;I want you to make it to April 10th, 1963.
./origem/partes/parte_0432.mp4;And if Oswald fires that gun alone,
./origem/partes/parte_0434.mp4;Hold on.
./origem/partes/parte_0435.mp4;What are we even talking about here?
./origem/partes/parte_0436.mp4;We're talking about seeing
./origem/partes/parte_0437.mp4;if Oswald took the gun.
./origem/partes/parte_0438.mp4;Or if he took a shot at Walker.
./origem/partes/parte_0439.mp4;I go back through the rabbit hole.
./origem/partes/parte_0440.mp4;I come out in 1960.
./origem/partes/parte_0441.mp4;You want me to hang out for three years?
./origem/partes/parte_0442.mp4;Two minutes here.
./origem/partes/parte_0443.mp4;What am I gonna do in 1960?
./origem/partes/parte_0444.mp4;I'm nothing there.
./origem/partes/parte_0445.mp4;How am I gonna live?
./origem/partes/parte_0446.mp4;I'm glad you asked.
./origem/partes/parte_0447.mp4;Treasure chest.
./origem/partes/parte_0448.mp4;James Amberson.
./origem/partes/parte_0449.mp4;See, you can still answer to Jake if you want.
./origem/partes/parte_0450.mp4;This is for me.
./origem/partes/parte_0451.mp4;You're welcome.
./origem/partes/parte_0452.mp4;Social Security card, birth certificate,
./origem/partes/parte_0453.mp4;charge cards, everything you need to hold a job,
./origem/partes/parte_0454.mp4;blend in.
./origem/partes/parte_0456.mp4;When did you do this?
./origem/partes/parte_0457.mp4;When I got diagnosed in 1962.
./origem/partes/parte_0458.mp4;You made all this when you were back there?
./origem/partes/parte_0459.mp4;Here's the most important thing.
./origem/partes/parte_0460.mp4;Sports stats?
./origem/partes/parte_0461.mp4;Yeah, baseball and boxing mostly.
./origem/partes/parte_0462.mp4;This is how you survived?
./origem/partes/parte_0463.mp4;You spent all your time back there gambling?
./origem/partes/parte_0464.mp4;That and there was a butcher I liked on Main Street.
./origem/partes/parte_0465.mp4;How do you think I keep my prices here so low?
./origem/partes/parte_0466.mp4;That's what you've been feeding me?
./origem/partes/parte_0467.mp4;I've been eating hamburgers from 1960?
./origem/partes/parte_0468.mp4;Yeah.
./origem/partes/parte_0469.mp4;Yeah.
./origem/partes/parte_0470.mp4;Yeah.
./origem/partes/parte_0471.mp4;Yeah.
./origem/partes/parte_0472.mp4;Yeah.
./origem/partes/parte_0473.mp4;Yeah.
./origem/partes/parte_0474.mp4;Yeah.
./origem/partes/parte_0475.mp4;Yeah.
./origem/partes/parte_0476.mp4;Yeah.
./origem/partes/parte_0477.mp4;Yeah.
./origem/partes/parte_0478.mp4;Yeah.
./origem/partes/parte_0479.mp4;Yeah.
./origem/partes/parte_0480.mp4;I don't know who you think I am.
./origem/partes/parte_0481.mp4;I just don't think I'm the right guy for this.
./origem/partes/parte_0482.mp4;devociation
./origem/partes/parte_0483.mp4;Yeah, yeah.
./origem/partes/parte_0484.mp4;Yeah.
./origem/partes/parte_0485.mp4;Yeah.
./origem/partes/parte_0486.mp4;Yeah.
./origem/partes/parte_0487.mp4;Yeah.
./origem/partes/parte_0488.mp4;Yeah.
./origem/partes/parte_0489.mp4;Yeah.
./origem/partes/parte_0490.mp4;Yeah.
./origem/partes/parte_0491.mp4;Yeah.
./origem/partes/parte_0492.mp4;Yeah.
./origem/partes/parte_0493.mp4;Yeah.
./origem/partes/parte_0494.mp4;Yeah.
./origem/partes/parte_0495.mp4;Yeah.
./origem/partes/parte_0496.mp4;Yeah.
./origem/partes/parte_0497.mp4;Yeah.
./origem/partes/parte_0498.mp4;Let's go.
./origem/partes/parte_0499.mp4;Go where?
./origem/partes/parte_0500.mp4;To the diner.
./origem/partes/parte_0501.mp4;I'll watch you go through.
./origem/partes/parte_0502.mp4;I can wait two minutes.
./origem/partes/parte_0503.mp4;Two minutes to get a better world.
./origem/partes/parte_0504.mp4;I have to think about all this.
./origem/partes/parte_0505.mp4;What's there to think about?
./origem/partes/parte_0506.mp4;I don't know.
./origem/partes/parte_0507.mp4;Okay.
./origem/partes/parte_0508.mp4;Yeah.
./origem/partes/parte_0509.mp4;Oh, yeah.
./origem/partes/parte_0510.mp4;And what a waste of fucking time.
./origem/partes/parte_0511.mp4;What?
./origem/partes/parte_0512.mp4;Now I can see how this is gonna go.
./origem/partes/parte_0513.mp4;Oh, my car needs an oil change.
./origem/partes/parte_0514.mp4;Gotta give a big test.
./origem/partes/parte_0515.mp4;Gotta go take a nap.
./origem/partes/parte_0516.mp4;Anything to avoid doing something real in your life.
./origem/partes/parte_0517.mp4;I've been up all night listening to fucking crazy.
./origem/partes/parte_0518.mp4;I thought maybe for once.
./origem/partes/parte_0519.mp4;This is fucking crazy.
./origem/partes/parte_0520.mp4;You might do something, not just talk about it.
./origem/partes/parte_0521.mp4;Just because you wasted your life on this,
./origem/partes/parte_0522.mp4;it doesn't mean that I have to.
./origem/partes/parte_0523.mp4;You little shit.
./origem/partes/parte_0524.mp4;Get the fuck out of my house.
./origem/partes/parte_0525.mp4;Get out.
./origem/partes/parte_0526.mp4;Get the fuck out of my house.
./origem/partes/parte_0527.mp4;Get the fuck out of my house.
./origem/partes/parte_0528.mp4;I'm not an angel.
./origem/partes/parte_0529.mp4;I know that it's for the value of life,
./origem/partes/parte_0530.mp4;but if I just leave you,
./origem/partes/parte_0531.mp4;my life will continue to be the life I was meant to have been.
./origem/partes/parte_0532.mp4;What's your problem with knowing the truth about life?
./origem/partes/parte_0533.mp4;The only thing saya doesn't care about is if you'd have a favorite or upset life.
./origem/partes/parte_0534.mp4;How many girlfriends did you date?
./origem/partes/parte_0535.mp4;I hated krieps.
./origem/partes/parte_0536.mp4;I didn't wanna have guys.
./origem/partes/parte_0537.mp4;I couldn't have any.
./origem/partes/parte_0538.mp4;Couldn't sleep.
./origem/partes/parte_0539.mp4;Out.
./origem/partes/parte_0540.mp4;Shit.
./origem/partes/parte_0541.mp4;Out.
./origem/partes/parte_0542.mp4;Okay, buddy.
./origem/partes/parte_0543.mp4;See you in two minutes.
./origem/partes/parte_0544.mp4;Here I go.
./origem/partes/parte_0545.mp4;Careful.
./origem/partes/parte_0546.mp4;Shouldn't be here.
./origem/partes/parte_0547.mp4;I'm telling you.
./origem/partes/parte_0548.mp4;You shouldn't be here.
./origem/partes/parte_0549.mp4;Well, I'm here.
./origem/partes/parte_0550.mp4;I'm here.
./origem/partes/parte_0551.mp4;I'm here.
./origem/partes/parte_0552.mp4;I'm here.
./origem/partes/parte_0553.mp4;Like, come on.
./origem/partes/parte_0554.mp4;Come on.
./origem/partes/parte_0555.mp4;Let's dance.
./origem/partes/parte_0556.mp4;Come on.
./origem/partes/parte_0557.mp4;Come on.
./origem/partes/parte_0558.mp4;Come on.
./origem/partes/parte_0559.mp4;Come on.
./origem/partes/parte_0560.mp4;Come on.
./origem/partes/parte_0561.mp4;Come on.
./origem/partes/parte_0562.mp4;You need to blend in, so get your hair cut and get rid of the stuff on your face.
./origem/partes/parte_0563.mp4;It's not going to work.
./origem/partes/parte_0564.mp4;Looks like you're overdue.
./origem/partes/parte_0565.mp4;Yeah, I guess so.
./origem/partes/parte_0566.mp4;You're out of town?
./origem/partes/parte_0567.mp4;Uh, yes. James Amberson.
./origem/partes/parte_0568.mp4;Amberson?
./origem/partes/parte_0569.mp4;Those the Ambersons over in Castle Rock?
./origem/partes/parte_0571.mp4;I know my wife's cousin married an Amberson, but he was from New Hampshire.
./origem/partes/parte_0572.mp4;Those your people?
./origem/partes/parte_0573.mp4;Actually, I was adopted.
./origem/partes/parte_0575.mp4;Get the right clothes.
./origem/partes/parte_0576.mp4;Back then, grown men wore suits and hats.
./origem/partes/parte_0577.mp4;When I vote, it comes down to character.
./origem/partes/parte_0578.mp4;Richard Nixon has it.
./origem/partes/parte_0579.mp4;You look at him.
./origem/partes/parte_0580.mp4;You think that's a good man.
./origem/partes/parte_0581.mp4;Yeah.
./origem/partes/parte_0582.mp4;Perfect. Cash or credit, sir?
./origem/partes/parte_0583.mp4;Oh, uh, cash.
./origem/partes/parte_0584.mp4;Uh, can I have a hat, too, please?
./origem/partes/parte_0586.mp4;Thanks.
./origem/partes/parte_0588.mp4;Hey.
./origem/partes/parte_0589.mp4;Hey.
./origem/partes/parte_0590.mp4;Hey.
./origem/partes/parte_0591.mp4;I guess you liked it.
./origem/partes/parte_0592.mp4;That is the best pie that I've ever had.
./origem/partes/parte_0593.mp4;It's insane.
./origem/partes/parte_0594.mp4;Um, I hope that's a good thing.
./origem/partes/parte_0595.mp4;Yeah. Yeah. Insanely good.
./origem/partes/parte_0596.mp4;It'll be 60 cents.
./origem/partes/parte_0597.mp4;60 cents. Okay.
./origem/partes/parte_0598.mp4;Of course.
./origem/partes/parte_0599.mp4;Hey, keep the change.
./origem/partes/parte_0600.mp4;Oh, thank you.
./origem/partes/parte_0601.mp4;Tell my mother you like her pie, Mr...
./origem/partes/parte_0602.mp4;Mr. Amberson. Yeah, thank you.
./origem/partes/parte_0604.mp4;You're Alice. Oh, my God.
./origem/partes/parte_0605.mp4;Something the matter?
./origem/partes/parte_0606.mp4;Did you go to South Lisbon High?
./origem/partes/parte_0607.mp4;Yeah, I just graduated.
./origem/partes/parte_0608.mp4;And you're going to teach there, right?
./origem/partes/parte_0609.mp4;Heck no. After the summer, I'm moving to Bangor.
./origem/partes/parte_0610.mp4;And then after that, New York.
./origem/partes/parte_0611.mp4;My mother doesn't know yet.
./origem/partes/parte_0612.mp4;Right. Well, good luck with that.
./origem/partes/parte_0614.mp4;Do me a favor. Just try to stay sweet.
./origem/partes/parte_0615.mp4;Okay. Maybe I'll see you around.
./origem/partes/parte_0616.mp4;I can laugh when things ain't funny.
./origem/partes/parte_0617.mp4;I can laugh when I'm lucky.
./origem/partes/parte_0618.mp4;Yeah, I can smile when I ain't got no money.
./origem/partes/parte_0619.mp4;I can laugh when I'm happy.
./origem/partes/parte_0621.mp4;Get a neutral, reliable, boring car.
./origem/partes/parte_0622.mp4;There's a lot on Maple Street.
./origem/partes/parte_0623.mp4;I got a deal on a 54 Chevy.
./origem/partes/parte_0624.mp4;Need to make your money last.
./origem/partes/parte_0625.mp4;You a buyer or a looker?
./origem/partes/parte_0626.mp4;Looker.
./origem/partes/parte_0627.mp4;Honey of a car.
./origem/partes/parte_0629.mp4;You know, this thing drives like a horse of fire.
./origem/partes/parte_0630.mp4;I bet.
./origem/partes/parte_0631.mp4;Bought it from Arlene Keegan over in Durham after her husband died.
./origem/partes/parte_0632.mp4;From out of town, am I right?
./origem/partes/parte_0633.mp4;Yeah.
./origem/partes/parte_0634.mp4;Andy Carson.
./origem/partes/parte_0635.mp4;Jake Amberson.
./origem/partes/parte_0636.mp4;So how much?
./origem/partes/parte_0639.mp4;750?
./origem/partes/parte_0640.mp4;Ha, ha, ha, ha, ha, ha.
./origem/partes/parte_0641.mp4;What would you say if, uh, it's 650?
./origem/partes/parte_0642.mp4;Cash.
./origem/partes/parte_0643.mp4;Mr. Amberson, make it seven.
./origem/partes/parte_0644.mp4;You got yourself a deal.
./origem/partes/parte_0646.mp4;Young lady in the office will write the sale up for you.
./origem/partes/parte_0647.mp4;I'll put on a sticker and a 14-day plate.
./origem/partes/parte_0648.mp4;Sticker will be another $5.
./origem/partes/parte_0649.mp4;All right.
./origem/partes/parte_0650.mp4;You got me.
./origem/partes/parte_0652.mp4;Uh, hey, Andy.
./origem/partes/parte_0654.mp4;It kind of cleans me out.
./origem/partes/parte_0655.mp4;Happen to know any place around here a guy might place a bet?
./origem/partes/parte_0656.mp4;A little more than a friendly wager?
./origem/partes/parte_0657.mp4;It may sound silly, but...
./origem/partes/parte_0658.mp4;I don't...
./origem/partes/parte_0659.mp4;I got the moonlight, I got the sun, I've got the stars above.
./origem/partes/parte_0660.mp4;Me and my filly, well, we both share.
./origem/partes/parte_0661.mp4;Slappy go happy, happy go lucky.
./origem/partes/parte_0662.mp4;Love, well, life is sweet.
./origem/partes/parte_0663.mp4;Oh, yeah, sweet and honey.
./origem/partes/parte_0664.mp4;Happy go lucky me.
./origem/partes/parte_0665.mp4;Happy go lucky me.
./origem/partes/parte_0666.mp4;Happy go lucky me.
./origem/partes/parte_0667.mp4;I'm gonna be here for a while.
./origem/partes/parte_0668.mp4;What are you looking to make a bet on?
./origem/partes/parte_0669.mp4;Fight of the week, Sanchez versus Joffrey.
./origem/partes/parte_0670.mp4;Joffrey to win.
./origem/partes/parte_0671.mp4;Three to one on us.
./origem/partes/parte_0672.mp4;Three to one, that's it?
./origem/partes/parte_0674.mp4;Want to make it interesting?
./origem/partes/parte_0677.mp4;What if I said, uh, Joffrey will knock him out in six rounds?
./origem/partes/parte_0678.mp4;Uh, I'd say 35 to one.
./origem/partes/parte_0679.mp4;Wow.
./origem/partes/parte_0680.mp4;35 to one.
./origem/partes/parte_0681.mp4;Hell, I'll make that bet.
./origem/partes/parte_0682.mp4;Eddie, I'm gonna take 35 to one.
./origem/partes/parte_0684.mp4;Okay.
./origem/partes/parte_0685.mp4;You got a bet?
./origem/partes/parte_0686.mp4;Oh, yeah?
./origem/partes/parte_0688.mp4;Great.
./origem/partes/parte_0689.mp4;Uh, how about, uh, $100?
./origem/partes/parte_0690.mp4;$100.
./origem/partes/parte_0691.mp4;$100.
./origem/partes/parte_0692.mp4;$100.
./origem/partes/parte_0693.mp4;$100.
./origem/partes/parte_0694.mp4;$100.
./origem/partes/parte_0695.mp4;Or...
./origem/partes/parte_0696.mp4;Or...
./origem/partes/parte_0697.mp4;Or...
./origem/partes/parte_0698.mp4;Or...
./origem/partes/parte_0699.mp4;Yeah.
./origem/partes/parte_0700.mp4;Yeah.
./origem/partes/parte_0701.mp4;Yeah.
./origem/partes/parte_0702.mp4;Whatever.
./origem/partes/parte_0703.mp4;Whatever.
./origem/partes/parte_0704.mp4;I'll cover that bet.
./origem/partes/parte_0705.mp4;You will?
./origem/partes/parte_0706.mp4;What's the name?
./origem/partes/parte_0707.mp4;James Amberson.
./origem/partes/parte_0708.mp4;My friends call me little Eddie.
./origem/partes/parte_0709.mp4;Little Eddie.
./origem/partes/parte_0710.mp4;Little Eddie.
./origem/partes/parte_0711.mp4;You can buy me a drink.
./origem/partes/parte_0712.mp4;We can listen together.
./origem/partes/parte_0713.mp4;Buster Henderson yelling instructions.
./origem/partes/parte_0714.mp4;You're not gonna let me drink.
./origem/partes/parte_0715.mp4;I'm not gonna let you drink.
./origem/partes/parte_0716.mp4;You're gonna let me drink.
./origem/partes/parte_0717.mp4;You're not gonna let me drink.
./origem/partes/parte_0718.mp4;You're not gonna let me drink.
./origem/partes/parte_0719.mp4;You're not gonna let me drink.
./origem/partes/parte_0720.mp4;We're gonna have to get ready to play.
./origem/partes/parte_0721.mp4;I saw a bunch of questions from Joffrey's camp.
./origem/partes/parte_0722.mp4;But Joffrey can't seem to get off.
./origem/partes/parte_0723.mp4;30 seconds to go and his...
./origem/partes/parte_0724.mp4;You got him.
./origem/partes/parte_0725.mp4;You got him.
./origem/partes/parte_0726.mp4;Come on, buddy.
./origem/partes/parte_0727.mp4;Come on.
./origem/partes/parte_0728.mp4;Joffrey's still walking, stalking forward.
./origem/partes/parte_0729.mp4;Joffrey's still game, still carries the paypal.
./origem/partes/parte_0730.mp4;Still can unleash that heavy leather.
./origem/partes/parte_0731.mp4;What Dan says is taunting his very fast foe.
./origem/partes/parte_0732.mp4;Yeah, I can hear it.
./origem/partes/parte_0733.mp4;Ladies and gentlemen, we are seeing Joffrey turn it around.
./origem/partes/parte_0734.mp4;A flurry of uppercuts.
./origem/partes/parte_0735.mp4;What?
./origem/partes/parte_0736.mp4;Beautiful shot.
./origem/partes/parte_0737.mp4;What are you doing?
./origem/partes/parte_0738.mp4;Here he comes.
./origem/partes/parte_0739.mp4;Come on, buddy.
./origem/partes/parte_0740.mp4;Come on, Joffrey.
./origem/partes/parte_0741.mp4;Come on, Joffrey.
./origem/partes/parte_0742.mp4;Come on.
./origem/partes/parte_0743.mp4;Joffrey.
./origem/partes/parte_0744.mp4;Come on.
./origem/partes/parte_0745.mp4;Get up! Get up! Get up off the canvas!
./origem/partes/parte_0746.mp4;Oh!
./origem/partes/parte_0747.mp4;Get up! Get up! Come on!
./origem/partes/parte_0748.mp4;Yeah!
./origem/partes/parte_0749.mp4;All right!
./origem/partes/parte_0750.mp4;The fight is over! The fight is over!
./origem/partes/parte_0751.mp4;Joffrey has knocked out Sanchez! Nobody saw this coming!
./origem/partes/parte_0752.mp4;Is that the sixth round?
./origem/partes/parte_0753.mp4;Sixth round?
./origem/partes/parte_0754.mp4;You won!
./origem/partes/parte_0755.mp4;Yeah.
./origem/partes/parte_0756.mp4;Did you just win a 35-to-1 bet?
./origem/partes/parte_0757.mp4;Yeah.
./origem/partes/parte_0758.mp4;So I'm lucky.
./origem/partes/parte_0759.mp4;I guess so.
./origem/partes/parte_0760.mp4;All right. Thank you, little Eddie.
./origem/partes/parte_0761.mp4;Count it.
./origem/partes/parte_0762.mp4;No, it's okay. I trust you.
./origem/partes/parte_0763.mp4;Count it. Make sure it's all there.
./origem/partes/parte_0764.mp4;Okay.
./origem/partes/parte_0765.mp4;That looks like it's all there.
./origem/partes/parte_0766.mp4;3,600.
./origem/partes/parte_0767.mp4;Okay, well, I should get going, but I really appreciate the bet.
./origem/partes/parte_0768.mp4;He appreciates the bet.
./origem/partes/parte_0769.mp4;Enjoy your time in Lisbon.
./origem/partes/parte_0770.mp4;Maybe I'll see you guys around.
./origem/partes/parte_0771.mp4;Hey.
./origem/partes/parte_0772.mp4;Nice wheels.
./origem/partes/parte_0773.mp4;Thanks.
./origem/partes/parte_0774.mp4;See ya.
./origem/partes/parte_0775.mp4;See ya.
./origem/partes/parte_0776.mp4;Welcome to the Tamarack Motor Court.
./origem/partes/parte_0777.mp4;I need a room. Do you have one?
./origem/partes/parte_0778.mp4;Okey-doke.
./origem/partes/parte_0779.mp4;Okay.
./origem/partes/parte_0780.mp4;Five dollars.
./origem/partes/parte_0781.mp4;All right.
./origem/partes/parte_0782.mp4;Roommate's ready for you.
./origem/partes/parte_0783.mp4;Thank you.
./origem/partes/parte_0784.mp4;I'll be right back.
./origem/partes/parte_0785.mp4;All right.
./origem/partes/parte_0786.mp4;You mean Pavard.
./origem/partes/parte_0787.mp4;People make bets all the time.
./origem/partes/parte_0788.mp4;You know, I'm not a big fan of the big guys.
./origem/partes/parte_0789.mp4;They win and lose every night.
./origem/partes/parte_0790.mp4;All right? You're being paranoid.
./origem/partes/parte_0791.mp4;Oh, no.
./origem/partes/parte_0792.mp4;Oh, no.
./origem/partes/parte_0793.mp4;Oh, no.
./origem/partes/parte_0794.mp4;Oh, no.
./origem/partes/parte_0795.mp4;Oh, no.
./origem/partes/parte_0796.mp4;Oh, no.
./origem/partes/parte_0797.mp4;Oh, no.
./origem/partes/parte_0798.mp4;Oh, no.
./origem/partes/parte_0799.mp4;Oh, no.
./origem/partes/parte_0800.mp4;Oh, no.
./origem/partes/parte_0801.mp4;Remedy boat sound.
./origem/partes/parte_0802.mp4;Remedy boat sound.
./origem/partes/parte_0803.mp4;Give me that radio back, potty tinham
./origem/partes/parte_0804.mp4;I got sick.
./origem/partes/parte_0805.mp4;
